title,url,date,imageurl,description,autokwd,company,screenshot,tag,platform
El Shaddai ASCENSION OF THE METATRON HD Remaster,https://store.nintendo.co.kr/70010000057899,"발매일
2024. 4. 28.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/4/54aab6aec16f0682a93edbd1aeff5ca82d5ae05dfeca83f1d992a61c4dba376e_1705911083.jpg,예약구입 상품입니다.,['El Shaddai ASCENSION OF THE METATRON HD Remaster'],crim,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/4/54aab6aec16f0682a93edbd1aeff5ca82d5ae05dfeca83f1d992a61c4dba376e_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/4/54aab6aec16f0682a93edbd1aeff5ca82d5ae05dfeca83f1d992a61c4dba376e_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/5/75f266146603d41150b68693d91dc0f5328f5ac72edfb17f16f682b2d0fbaa98_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/a/ea39c827ba456317e1bb5818e1a72fdccd5361112e95aef2a588608c6dee082e_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/1/a1f2021d13b935b2cb745c3a58ce8c596f037a441c6b50593f710dc69252ce6e_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/8/e8417efd677b6278ba9842cba0143a6c5666ba4096f159f1f3f5489de24a686f_1705911083.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/0/c/0cf51f8a2479faf60cd24469cc0df936329dd672db3b16552120bbabdc651336_1705911083.jpg']",['액션'],['switch']
Freedom Planet 2,https://store.nintendo.co.kr/70010000074256,"발매일
2024. 4. 4.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/1/e1960120226098393b9676be160ba9f61f51f438b33303f4d4da227d53c2e03e_1705479286.jpg,예약구입 상품입니다.,['Freedom Planet 2'],XSEED Games,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/1/e1960120226098393b9676be160ba9f61f51f438b33303f4d4da227d53c2e03e_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/1/e1960120226098393b9676be160ba9f61f51f438b33303f4d4da227d53c2e03e_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/b/6/b63712f772196d363eb3317a753cabad3b40d64b8c6e6f6c1165226363d3c4bc_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/4/4/443694e06be1ca069de82dd78d4185b137776a474070f76a9e0fe93f89af8d06_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/6/a/6af7610c481d422cace4660ef51d7cda322a764d50315a75f3d3255a86a7bede_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/9/a980e58bac2f0e6321ddd97ecaca73040db78135ff739b829d6e9d95ef925f36_1705479286.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/6/f/6f12e8c3935fc8631ad8c58d417d58e6b60319e99e6986161f8dafa8f7500b1f_1705479286.jpg']","['액션', '어드벤처']",['switch']
Colony Defense - The Ultimate Minimalist Tower Base Defense Game,https://store.nintendo.co.kr/70010000075312,"발매일
2024. 4. 4.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/7/378aae28fe9e8d0d2df4cff70b87d37494ccd6c7e8951d9d04f8920b33063830_1701764202.jpg,예약구입 상품입니다.,['Colony Defense - The Ultimate Minimalist Tower Base Defense Game'],McPeppergames,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/7/378aae28fe9e8d0d2df4cff70b87d37494ccd6c7e8951d9d04f8920b33063830_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/7/378aae28fe9e8d0d2df4cff70b87d37494ccd6c7e8951d9d04f8920b33063830_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/1/f/1f0b5b767b5426f1490e7522027429f43e767d97be4f64449a14664821db2ad1_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/9/b/9b01eef58923c3dbdecfb763745dfbd8780ceac27a1f29265ba46c1d247bd68f_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/0/6/060a898ce097b8fbfeadd718d90cfb40d3e804ad6cde1d5aec20a1679e7abd84_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/9/1/915471ca49b35bac3286556f1efd29916904be6802486f396ee882f224ab8e90_1701764202.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/c/2/c255e0076a102f9c8272d08159150bb4456f305abe1f27c087b8d3303c670a3e_1701764202.jpg']","['액션', '전략', '아케이드', '퍼즐']",['switch']
프린세스 피치 Showtime!,https://store.nintendo.co.kr/70010000072183,"발매일
2024. 3. 22.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_.jpg,"현재 닌텐도 e숍에서 예약판매 중입니다.
닌텐도 온라인 스토어에서의 판매는 후일 실시 예정입니다.",['프린세스 피치 Showtime!'],한국닌텐도,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_1_princess_peach_showtime_1_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_2_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_3_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_1_princess_peach_showtime_4_.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/s/_showtime_5_.jpg']",['액션'],['switch']
Lawn Mowing Simulator,https://store.nintendo.co.kr/70010000070111,"발매일
2024. 3. 14.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/5/75acb699f6bc23fa7b6580407d1bcca20ebfde8e0ea78c96f2cd00f78295753f_1704960680.jpg,예약구입 상품입니다.,['Lawn Mowing Simulator'],astragon,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/5/75acb699f6bc23fa7b6580407d1bcca20ebfde8e0ea78c96f2cd00f78295753f_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/5/75acb699f6bc23fa7b6580407d1bcca20ebfde8e0ea78c96f2cd00f78295753f_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/c/acdbd7f1e99ec6c8609600f4e2897f4ec495afecfcc7362631caca8db4310382_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/3/53bdf9dd5d396fe1de34d4aeda92d5538bdeefc9500696a31c3e5e6e6bb16fbe_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/1/5/1542f36a5b5e71746bedac611e5274dba4d76a6ef98f586bdc2143ae33003ca4_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/b/3/b3b6ab6917a64abb2d3b26df4b1a5b52ec64ef3c125ab8ef7aef22742ff11969_1704960680.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/2/5276bf2558502203f74acf4a297dc119acacec8ac4bf71513da0299acbc6430c_1704960680.jpg']","['전략', '시뮬레이션', '기타', '트레이닝']",['switch']
유니콘 오버로드(Unicorn Overlord),https://store.nintendo.co.kr/70010000065197,"발매일
2024. 3. 8.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/e/3e4a3aa351350e21e7fbb1c65698aab0cd4b37c6d62fc838952c62cfb8f6ae03_1694679105.jpg,예약구입 상품입니다.,['유니콘 오버로드(Unicorn Overlord)'],SEGA,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/e/3e4a3aa351350e21e7fbb1c65698aab0cd4b37c6d62fc838952c62cfb8f6ae03_1694679105.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/e/3e4a3aa351350e21e7fbb1c65698aab0cd4b37c6d62fc838952c62cfb8f6ae03_1694679105.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_1_switch___1__.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_2_switch___2__.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_3_switch___3__.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_4_switch___4__.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/4/240108_5_switch___5__.jpg']","['RPG', '전략', '시뮬레이션']",['switch']
영웅전설 여의 궤적 for Nintendo Switch,https://store.nintendo.co.kr/70010000072779,"발매일
2024. 2. 29.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/2/72abc76c20b10bc9852a27171115109d9e41bb30111969ddbbfc787063f27ba3_1705911134.jpg,예약구입 상품입니다.,['영웅전설 여의 궤적 for Nintendo Switch'],Clouded Leopard Entertainment,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/2/72abc76c20b10bc9852a27171115109d9e41bb30111969ddbbfc787063f27ba3_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/2/72abc76c20b10bc9852a27171115109d9e41bb30111969ddbbfc787063f27ba3_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/0/e/0e0534c6dda0dd70bec55e1d1dfa100ff995455c223f6ea35479d632569b312f_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/1/0/10e83bc5f8b8afbd14fda35db291445fef8c100a3526c898cb38aaa132854c72_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/0/50236c0788cd0463e8ddaea1ef18b27f33d2a9dd82884d35e9dd5cea17fa11ea_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/8/5/85ad282f00b3a70d95cd7c0a3e4a7e78e6f2b642585b3ef0abb8a10ae4af13b0_1705911134.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/4/a449e72f2c130d8590ba78a0ff059843a780b60643575f95c38966bdea6a962a_1705911134.jpg']",['RPG'],['switch']
qomp 2,https://store.nintendo.co.kr/70010000063531,"발매일
2024. 2. 22.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/4/a4ce52f2ce974d32b52ae4de9f23d80e438a10240fca8c5e3d37c795185117e7_1693901568.jpg,예약구입 상품입니다.,['qomp 2'],Atari,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/4/a4ce52f2ce974d32b52ae4de9f23d80e438a10240fca8c5e3d37c795185117e7_1693901568.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/4/a4ce52f2ce974d32b52ae4de9f23d80e438a10240fca8c5e3d37c795185117e7_1693901568.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/6/8/68786059cec34cbed1b1b20827ace1b1c9ad1a38b029fa2094232ecd77fde42e_1693901568.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/9/e/9e0cf66b510f55a16b1378ebbbb3749a2eb03df6f85009f61524b8c23b8845e9_1693901568.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/c/5c53ec1dbdf53b91a7b68cf50c6b24eddcfdb1634c93d823e734f15b9239beaa_1693901568.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/0/c/0c0a5f8b890cd6542ba2ad829d7a1d0d443cf3c1bd3fa62eeee72977ef3ecde5_1693901568.jpg']","['어드벤처', '아케이드', '퍼즐']",['switch']
밴들 이야기: 리그 오브 레전드 이야기,https://store.nintendo.co.kr/70010000069070,"발매일
2024. 2. 22.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/c/6/c6c205d57409c6ab3b31b8b94987224f44a862340478ee78b076d151102309a6_1705392699.jpg,예약구입 상품입니다.,['밴들 이야기: 리그 오브 레전드 이야기'],Riot Forge,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/c/6/c6c205d57409c6ab3b31b8b94987224f44a862340478ee78b076d151102309a6_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/c/6/c6c205d57409c6ab3b31b8b94987224f44a862340478ee78b076d151102309a6_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/e/2/e2b74c828ad052ec4f62ebc1612bdfe79862e47fb1a0ff6993e391db68037bb7_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/5/7/574dc7605638bbf440b57dc5c696a52c89f25c4b91ae84f6ef7ee211f6d1a372_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/b/ab5bb84c30d6a55efb8b03786e78954f2d7559deba7e7efbc1bea3181bc91704_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/2/6/260fca0886361bd3ef1eda633e473ba62ba2d97875e3d6646b0f97d5c0cac569_1705392699.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/d/a/da418e55c353b36747478c3e1f153933a4a4d9e2b2c56e83e5a5e31d8a241caf_1705392699.jpg']","['RPG', '시뮬레이션']",['switch']
마리오 vs. 동키콩,https://store.nintendo.co.kr/70010000072193,"발매일
2024. 2. 16.",https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/v/_vs.__1.jpg,"현재 닌텐도 e숍에서 예약판매 중입니다.
닌텐도 온라인 스토어에서의 판매는 후일 실시 예정입니다.",['마리오 vs. 동키콩'],한국닌텐도,"['https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/v/_vs.__1.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/_/v/_vs.__1.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/f/1/f1b4785bcc442c5817427defebb9d98ab73838685b54ac5a13bfaefe5aba8013_1694549050.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/a/b/aba6bff3d9ed7f28faf4084fa9a5819fad427ee2e3c293ba43ad95f8ab30bdd1_1694549050.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/5/75882b7fcf57c6d7a03e0d8065f9e156c16341b26f442dfe5fe89c0efb440752_1694549050.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/3/8/387f623e74f4763ddebbebf0f8b884a80f02b4112d9de06377fc8718177d3316_1694549050.jpg', 'https://store.nintendo.co.kr/media/catalog/product/cache/8e3c84988db1fdb90470f4d01453d879/7/d/7d5a6f196c7b74134c1d94a536800832e395810ec170df62ec08e6f3c6eaeaea_1694549050.jpg']","['액션', '퍼즐']",['switch']
