title,url,date,imageurl,description,autokwd,company,screenshot,tag,platform
Path of Exile 2 Founder's Pack - Path of Exile 2 Early Access,https://store.playstation.com/ko-kr/concept/10010602,2024-12-06,https://image.api.playstation.com/vulcan/ap/rnd/202405/2622/9456486248ee0da8213ff2a8a4fdd64ba6869eade81c1e35.jpg?w=1920,"패스 오브 엑자일 2는 2025년 말에 무료 플레이 타이틀로 출시될 예정입니다.
패스 오브 엑자일 2 얼리 액세스 서포터 팩에는 패스 오브 엑자일 2 얼리 액세스 권한과 300 포인트가 포함되어 있습니다.","Path of Exile 2 Founder's Pack - Path of Exile 2 Early Access,패스 오브 엑자일 2 파운더 팩 - 패스 오브 엑자일 2 얼리 액세스",GRINDING GEAR GAMES LIMITED,https://image.api.playstation.com/vulcan/ap/rnd/202405/2622/9456486248ee0da8213ff2a8a4fdd64ba6869eade81c1e35.jpg?w=1920,액션,playstation
DEATH STRANDING 2: ON THE BEACH,https://store.playstation.com/ko-kr/concept/10001538,2025-06-26,https://image.api.playstation.com/vulcan/ap/rnd/202503/0316/b185e1dc1fd590949ec81e38a0a1269a8285968fa5009c96.png?w=1920,"예약주문하고 다음 콘텐츠를 받으세요:
- 커스텀 홀로그램: 쿼카
- 배틀 스켈레톤: 실버 (Lv.1)(Lv.2)(Lv.3)
- 부스트 스켈레톤: 실버 (Lv.1)(Lv.2)(Lv.3)
- 봇카 스켈레톤: 실버 (Lv.1)(Lv.2)(Lv.3)


에디션은 다음을 포함합니다:
PS5® 버전 DEATH STRANDING 2: ON THE BEACH 제품판

UCA 너머 살아가는 사람들까지 연결하기 위한 감동적인 여정을 시작하세요.

샘은, 동료들과 함께, 인류를 멸종으로부터 구원하기 위한 새로운 여정을 떠납니다.

이들과 함께 이세계적인 적, 장해물, 그리고 불편한 질문이 존재하는 세상을 탐험하세요. 우리는 과연 연결해야 했을까?

한 걸음씩, 전설적인 게임 제작자 코지마 히데오가 다시 한번 세상을 바꿉니다.",DEATH STRANDING 2: ON THE BEACH,Sony Interactive Entertainment Inc.,https://image.api.playstation.com/vulcan/ap/rnd/202503/0316/b185e1dc1fd590949ec81e38a0a1269a8285968fa5009c96.png?w=1920,액션,playstation
Indiana Jones and the Great Circle,https://store.playstation.com/ko-kr/concept/10012238,2025-04-17,https://image.api.playstation.com/vulcan/ap/rnd/202408/1520/d002c270771bec89f396906f47f18d46d2c66b7da1b21cf0.jpg?w=1920,"지금 예약 주문하고 최후의 성전™에 등장하는 탐험용 의상 및 사자 조련사 채찍이 포함된 최후의 성전™ 팩을 받아 보세요.


레이더스와 최후의 성전 사이의 시기를 무대로 한 1인칭 싱글 플레이 모험인 인디아나 존스: 그레이트 서클에서 역사 속 가장 위대한 미스터리를 밝혀내세요. 사악한 단체가 그레이트 서클에 관련된 고대의 힘의 비밀을 파헤치려 전 세계를 샅샅이 뒤지던 1937년, 그들의 음모를 막을 수 있는 사람은 오직 인디아나 존스뿐입니다. Wolfenstein 시리즈로 수많은 게임상을 수상한 MachineGames와 명예의 전당에 오른 게임 디자이너인 토드 하워드가 총괄 제작한 시네마틱 액션 어드벤처 게임 속에서 전설적인 고고학자가 되어 보세요!

당신이 인디아나 존스입니다!
모험, 몰입형 액션, 흥미로운 퍼즐들로 가득한 스릴 넘치는 스토리 속에서 인디아나 존스가 되어 모험을 즐겨 보세요. 날카로운 지성과 교활한 책략, 특유의 유머 감각으로 유명한 고고학자가 되어 전 세계를 무대로 사악한 무리에 맞서서 역사 속 가장 위대한 미스터리에 얽힌 비밀을 밝혀내세요.

미스터리의 세계가 당신을 기다리고 있습니다!
마샬 대학에서 바티칸의 심장부, 이집트의 피라미드, 수코타이의 가라앉은 사원, 그리고 그 너머를 향해 모험를 떠나세요! 한밤중에 침입한 정체불명의 거한을 마주치면서, 당신은 사소한 물건이라 생각했던 유물이 도난당한 사건 너머에 숨겨진 세계를 뒤흔들 비밀을 밝혀내야 하는 모험을 마주합니다. 협력자와 함께 적과 맞서면서 당신은 흥미로운 인물들을 만나게 될 것입니다. 기발함과 재치를 발휘해 고대의 수수께끼를 풀어 숨 막히는 유적 속에서 살아남으세요.

채찍을 이용한 전투
인디아나 존스의 상징인 채찍을 사용해 적의 주의를 분산시키거나 무기를 뺏고, 공격을 가할 수 있습니다. 하지만 채찍은 단순한 무기가 아닙니다. 유적을 탐색하기에 아주 유용한 도구이기도 합니다. 채찍을 휘둘러 순찰대를 따돌리고 벽을 뛰어넘어 역경을 헤쳐나가세요. 조용한 잠입, 긴장감 넘치는 육박전, 그리고 총격전으로 적의 위협에 맞서 미스터리를 풀어보세요.

탐험 정신
선형적인 서사 기반의 게임 방식과 오픈 에어리어 맵이 조합된 다이나믹한 구성을 경험해 보세요. 당신 내면의 탐험 정신을 발휘해 매혹적인 비밀과 치명적인 함정, 교묘한 퍼즐의 세계를 탐험하다 보면, 다음 미스터리의 단서… 어쩌면 뱀과 조우하게 될지도 모릅니다. 하필 뱀이라니!","Indiana Jones and the Great Circle,인디아나 존스: 그레이트 서클",Bethesda Softworks,https://image.api.playstation.com/vulcan/ap/rnd/202408/1520/d002c270771bec89f396906f47f18d46d2c66b7da1b21cf0.jpg?w=1920,어드벤처,playstation
Forza Horizon 5,https://store.playstation.com/ko-kr/concept/10010647,2025-04-29,https://image.api.playstation.com/vulcan/ap/rnd/202503/2417/4d27754720206805d54f5beddfcc0817700af978a56ff0db.jpg?w=1920,"지금 사전 주문하면 출시 후 다음 디지털 콘텐츠를 받을 수 있습니다.
5,000 Forzathon 포인트
백스테이지 패스 5개
2021 Mercedes-AMG One


환상적인 Horizon 어드벤처가 여러분을 기다립니다! 세계 최고의 자동차 수백 대를 타고 시시각각 변화하는 멕시코의 활기찬 풍경을 탐험하며 재미있는 드라이빙 액션을 마음껏 즐겨보세요.",Forza Horizon 5,Microsoft Corporation,https://image.api.playstation.com/vulcan/ap/rnd/202503/2417/4d27754720206805d54f5beddfcc0817700af978a56ff0db.jpg?w=1920,드라이빙/레이싱,playstation
F1 25 Iconic Edition,https://store.playstation.com/ko-kr/concept/10011830,2025-05-28,https://image.api.playstation.com/vulcan/ap/rnd/202503/3109/f94f07cfb8a55186770cce7b8b1eeaec6cc4f658f6cb3902.png?w=1920,"이미 PlayStation Store에서 F1 23, F1 24 또는 Need for Speed Unbound를 구매한 경우, 프리미엄 에디션 예약 주문 가격이 15% 할인됩니다.

F1® 25 Iconic Edition 예약 구매* 시 혜택:

● Lewis Hamilton Iconic Pack
● F1® 24의 Lewis Hamilton F1® World 이벤트***
● 3일 얼리 액세스
● F1® The Movie - 챕터 시나리오**
● APXGP Team Pack**
● F1® 24의 타임 트라이얼에서 즉시 2025 시즌 리버리 컬렉션***
● F1® 75 Celebration Pack
● F3™ 드라이버 아이콘
● F1® World Bumper Pack
● 게임 내에서만 사용할 수 있는 18,000 PitCoin


이 이야기의 주인공은 여러분입니다. 2025 FIA Formula One World Championship™의 공식 비디오 게임인 F1® 25에서 레이싱 세계에 발자취를 남기세요. 개선된 My Team 모드, Braking Point의 스릴 넘치는 세 번째 챕터 등을 선보입니다!

● My Team 2.0: Formula 1® 팀의 오너가 되어 나만의 F1® 스토리를 만들어 보세요. 새로운 오너 특전 시스템으로 팀 관리에서 선호하는 분야를 전문화하고 레이스 위크엔드에 두 명의 F1® 드라이버 중 한 명이 운전대를 잡을 수 있습니다.

● Braking Point 3: 극적인 사건으로 인해 팀이 혼란에 빠지면서 Konnersport의 레거시에 위기가 닥칩니다. 이 위기에 맞서 싸우고 World Championship에 도전할 수 있을까요?

F1® 25에서 자신만의 이야기를 펼칠 수 있는 모든 게임플레이 개선 사항을 4월에 다시 자세히 살펴보세요.

이 게임은 게임 내에서 사용되는 가상 화폐를 게임 내 구매 및 이용할 수 있으며, 이를 통해 게임 내 가상 아이템을 구매할 수 있습니다.",F1 25 Iconic Edition,Electronic Arts Inc.,https://image.api.playstation.com/vulcan/ap/rnd/202503/3109/f94f07cfb8a55186770cce7b8b1eeaec6cc4f658f6cb3902.png?w=1920,드라이빙/레이싱,playstation
METAL GEAR SOLID Δ: SNAKE EATER,https://store.playstation.com/ko-kr/concept/10007293,2025-08-28,https://image.api.playstation.com/vulcan/ap/rnd/202406/0513/40644e8efe1a34b361adcd5d22283444e0ee12fcf9783479.png?w=1920,"【예약 특전】
・UNIFORM : 흰색 턱시도
※ 본 특전은 별도로 입수할 수 있습니다.


원작의 핵심은 그대로, 몰입 체험이 진화를 이룬다.
2004년 발매된 ""METAL GEAR SOLID 3: SNAKE EATER""를 원작으로 한 리메이크 작품.
원작의 스토리와 세계관은 그대로 유지되었으며, 최신 그래픽과 입체적인 사운드 표현으로 정글에서 펼쳐지는 궁극의 서바이벌 스텔스 액션을 즐길 수 있다.

오리지널 매력 그대로 진화
스토리, 캐릭터, 보이스, 게임 플레이, 음악 등 원작이 가진 매력은 그대로, 최신 하드웨어에 맞춘 진화를 이룬 리메이크 작품. 세계 구석구석을 다시 만들어 모든 컷 장면에 새로운 생명이 불어넣어졌다.

철저한 현실 추구
전투 피해 묘사가 진화하면서 옷의 찢김, 멍, 탄흔이 실시간으로 Snake의 몸에 표현된다. 옷은 갈아입어 변경을 할 수 있지만, 몸에 난 상처는 계쏙 남게 된다. 플레이어 개개인의 게임 플레이에 따라 Snake의 모습이 다양하게 변한다.

압도적인 몰입감과 현장감
당시와 같은 플레이 감각으로 즐길 수 있는 오리지널 조작 방법과 더불어 새로운 게임에 익숙해진 세대를 위한 플레이 스타일도 채용. 심플하고 이해하기 쉬운 조작성으로 플레이에 대한 집중력을 높여 극한 환경에서의 짜릿한 서바이벌 체험을 즐길 수 있으며, 당시와 같은 플레이 감각으로 즐길 수 있는 플레이 스타일도 선택이 가능.

추가 컨텐츠
・SNAKE VS MONKEY
이 모드에서는 Snake 역할을 하며, 각 단계에서 도망치는 탈출한 유인원들을 모두 모으자!

And more…

※일부 컨텐츠는 인터넷에 접속한 후 소프트웨어 업데이트를 통해 플레이할 수 있습니다.

※본 제품 외에도 「Digital Deluxe Edition」이 따로 있습니다. 중복 구매에 주의하시기 바랍니다.",METAL GEAR SOLID Δ: SNAKE EATER,KONAMI DIGITAL ENTERTAINMENT,https://image.api.playstation.com/vulcan/ap/rnd/202406/0513/40644e8efe1a34b361adcd5d22283444e0ee12fcf9783479.png?w=1920,액션,playstation
Clair Obscur: Expedition 33,https://store.playstation.com/ko-kr/concept/10008503,2025-04-24,https://image.api.playstation.com/vulcan/ap/rnd/202406/0917/96d5b955f3833beb4e0be99c8699fa0abe83b81e2eb2a59e.jpg?w=1920,"""해가 지날 때마다, 우리는 지워진다.""

일 년에 한 번씩, 페인트리스는 잠에서 깨어나 거석 위에 저주받은 숫자를 적습니다. 그러면 페인트리스가 그린 숫자와 나이가 같은 모든 사람이 연기로 변해 사라져 버립니다. 해가 지날 때마다 그 숫자는 줄어들고, 더 많은 사람들의 존재가 지워집니다. 내일이면 그녀가 다시 깨어나 숫자 ""33""을 그릴 겁니다. 그리고 내일이면 우리는 페인트리스를 처치하는 최후의 임무를 수행하러 떠납니다. 그녀가 다시는 죽음을 그리지 못하게 할 겁니다.

우리는 33 원정대입니다.

클레르 옵스퀴르: 33 원정대는 독특한 실시간 메커니즘이 가미된 혁신적인 턴제 RPG로, 그 어느 때보다 몰입도 높고 스릴 넘치는 전투를 경험할 수 있습니다. 벨 에포크 시대의 프랑스에서 영감을 받은 판타지 세계를 탐험하며 무시무시한 적들과 맞서 싸우세요.

반응형 턴제 전투
새롭게 진화한 JRPG의 정수를 보여주는 이 게임에서는 실시간 액션이 턴제 전투의 핵심적인 재미를 보강해 줍니다. 장비, 능력치, 기술, 캐릭터 시너지 효과를 활용하여 나만의 플레이스타일에 맞춘 고유한 원정대원 빌드를 구성하세요. 전투에서는 실시간 회피와 쳐내기, 카운터 등으로 적극적인 공세를 펼치고, 공격 리듬에 숙달하여 연쇄 콤보를 쌓고, 자유 조준 시스템을 이용해서 적의 약점을 직접 공략하세요.

""내일은 온다.""
시간이 단 일 년 밖에 남지 않은 상황에서 구스타브와 마엘, 동료 원정대원들을 이끌고 페인트리스의 죽음의 굴레를 끊어내기 위한 필사적인 여정에 오르세요. 이전 원정대의 흔적을 따라가며 그들이 맞이한 운명을 알아내세요. 불가능한 역경에 맞서 함께 싸우는 33 원정대의 원정대원들과 조금씩 가까워지세요.

아찔하리만큼 아름다운 세계
초현실적인 적들이 배회하는 매혹적인 세계를 탐험하세요. 비사주의 섬부터 잊힌 전장까지, 숨 막히게 아름다운 풍경 속을 거닐며 수많은 비밀과 숨겨진 임무를 찾아내세요. 전설 속 존재들을 동료로 맞이하세요. 특별한 친구를 만나 새로운 이동 수단을 확보하고, 세계 지도 속 비밀 지역을 발견해 보세요.

언리얼 엔진 5의 경이로운 그래픽으로 구현되고 가슴 시린 사운드트랙이 함께하는 Sandfall Interactive의 놀라운 데뷔 게임을 경험해 보세요.","Clair Obscur: Expedition 33,클레르 옵스퀴르: 33 원정대",Kepler Interactive Limited,https://image.api.playstation.com/vulcan/ap/rnd/202406/0917/96d5b955f3833beb4e0be99c8699fa0abe83b81e2eb2a59e.jpg?w=1920,롤플레잉 게임,playstation
Days Gone Remastered,https://store.playstation.com/ko-kr/concept/229018,2025-04-25,https://image.api.playstation.com/vulcan/ap/rnd/202502/1302/cdf6431ee3f30fde3c13b42857d41edc42142da11e1bdc61.jpg?w=1920,"지금 예약주문하고 다음 콘텐츠를 획득하세요:
- 드리프터 석궁 조기 해제
-니트로 업그레이드 #1 조기 해제
-연료 탱크 업그레이드 #1 조기 해제
-연료통 덮개 업그레이드 #1 조기 해제
- 멍키 스패너 스킬 조기 해제
- PSN 아바타 8종 세트


에디션 구성품:
Days Gone 리마스터

PlayStation®5 콘솔용으로 리마스터링된 궁극의 Days Gone에서 절박하고 냉혹한 세계와 만나세요.

치명적인 전염병으로 황폐해진 세상에서, 전 무법자 바이커인 디컨 세인트 존이 되어 생존을 위해 싸우세요. 든든한 드리프터 바이크를 타고 망가진 도로 위를 아슬아슬하게 달리며 무자비하고 공격적인 프리커 호드, 그리고 위협적인 인간 무리와 조우하세요.

변덕스러운 날씨와 변하는 시간대는 예상치 못한 위험과 충격을 선사하고, 세상 속 모든 것은 당신의 목숨을 노립니다.

- 개선된 그래픽, 나뭇잎 표현 거리, 빛과 그림자 효과의 품질을 감상하고, VRR을 지원하는 TV 또는 디스플레이의 경우 가변 재생률로 더욱 원활해진 성능을 즐기세요.1
- 고해상도를 지원하는 품질 모드와 향상된 프레임률을 지원하는 성능 모드 중 원하는 모드를 선택하세요.
- 바이크 엔진의 시동음부터 망가진 도로를 달리는 감각까지 DualSense® 무선 컨트롤러의 햅틱 피드백과 적응 트리거를 통해 생존의 모든 순간을 느껴보세요.

1 호환되는 4K TV 또는 디스플레이가 필요합니다.","Days Gone Remastered,Days Gone 리마스터",Sony Interactive Entertainment,https://image.api.playstation.com/vulcan/ap/rnd/202502/1302/cdf6431ee3f30fde3c13b42857d41edc42142da11e1bdc61.jpg?w=1920,"어드벤처, 액션",playstation
ELDEN RING NIGHTREIGN,https://store.playstation.com/ko-kr/concept/10010877,2025-05-30,https://image.api.playstation.com/vulcan/ap/rnd/202501/3109/aaeabe6b48ab263b4044678f0a27cc62ef5057d963ecbe5f.jpg?w=1920,"지금 예약하시면 예약 특전을 얻으실 수 있습니다.

▼예약 특전: 제스처

※특전 콘텐츠는 발매일에 게임 내에서 획득하실 수 있습니다.
※2025년 5월 29일까지 구매하신 고객 대상으로 배포됩니다.
※예약 특전인 제스처는 게임을 진행하면서 입수할 수도 있습니다.


본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4® 버전과 디지털 PS5® 버전 모두를 보유하실 수 있습니다.

『ELDEN RING 밤의 통치자』는 ELDEN RING 세계관을 이용해 게임의 핵심 디자인을 재구축하여 플레이어에게 새로운 게임 체험을 전달하고자 하는 신작 어드벤처 게임입니다.

함께 맞서라
다른 플레이어와 협력해 다가오는 밤과 그 안에 숨은 위험에 맞서라.
영웅이 되어라
유니크한 스킬을 지닌 영웅들을 지휘하자. 강력한 영웅들이 팀이 되어 단결하면, 그 스킬 또한 강력한 상승효과를 일으킬 것이다.
밤에 도전하라
게임 세션마다 변화하는, 토지를 지배하는 가차없는 환경의 위협을 이겨내고 그 밤의 장대한 보스를 물리치자!

※이 상품 외에 다른 에디션도 판매 중입니다. 중복 구매에 주의하여 주십시오.","ELDEN RING NIGHTREIGN,ELDEN RING 밤의 통치자",Bandai Namco Entertainment,https://image.api.playstation.com/vulcan/ap/rnd/202501/3109/aaeabe6b48ab263b4044678f0a27cc62ef5057d963ecbe5f.jpg?w=1920,액션,playstation
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,https://store.playstation.com/ko-kr/concept/10008540,2025-08-01,https://image.api.playstation.com/vulcan/ap/rnd/202502/1401/8a24546049ddbc031651f2ed0959ea4c271184de5934188f.jpg?w=1920,"【예약 특전】
플레이어블 캐릭터 조기 해방권 '토키토 무이치로', '칸로지 미츠리'

※'예약 특전'은 발매 전날까지 예약하면 획득할 수 있습니다.


PS4® 다운로드판과 PS5® 다운로드판 모두 다운로드 가능한 타이틀입니다.
※본 제품은 '일반판'입니다. 본 제품 외에 '디럭스 에디션'도 있으므로
제품 내용 및 특전을 확인 후 구매하십시오.

◆내용 설명
""인연""의 칼날로 악귀를 멸하라!
카마도 탄지로의 전투가 가정용 게임으로 다시 막을 올린다―――

【솔로 플레이 모드 -히노카미 혈풍담-: 애니메이션 '귀멸의 칼날' 세 편의 이야기를 체험!】
카마도 탄지로가 걸어온 이야기를 게임으로 체험하자.
TV 애니메이션 '귀멸의 칼날' 에서 '환락의 거리편', '도공 마을편', '합동 강화 훈련편' 의 에피소드를 수록!
탄지로와 동료들의 앞을 가로막는 상현 혈귀들에 맞서 함께 싸우자!

【버서스 모드 -대전-: 주, 집결】
귀살대 최고 계급인 검사 '주' 9명을 포함해 40명 이상의 캐릭터가 참전!
전작에 이어 '합체 오의'와 '장비'라는 신규 요소도 추가!
온라인 대전과 오프라인 대전을 통해 새로운 경지에 도달하자!

◆세트 구성
-귀멸의 칼날 히노카미 혈풍담2　게임 본편
-다운로드판 특전: 플레이어블 캐릭터 조기 해방권 '귀멸 학원·렌고쿠 쿄쥬로', '귀멸 학원·우즈이 텐겐'

※플레이어블 캐릭터 조기 해방권은 버서스 모드에서 기재된 캐릭터를 처음부터 플레이할 수 있는 특전입니다.
※게임 내 의상은 버서스 모드에서 사용할 수 있습니다.
※버서스 모드에서 온라인 플레이를 즐기기 위해서는 PlayStation®Plus(유료)에 가입할 필요가 있습니다.
※온라인 기능을 이용하기 위해서는 최신 패치가 적용되어 있어야 합니다.
※내용 및 사양은 예고 없이 일부 변경될 수 있습니다.
※다운로드판 특전은 영구 부여되는 특전입니다.
※특전은 추후 별도로 배포될 수도 있습니다.
※PS5판 첫 기동 시에 PS4판의 저장 데이터가 존재할 경우, PS4판의 저장 데이터를 PS5판으로 이어받을 수 있습니다.
※이미 본 타이틀의 PS4판을 소지하고 계신 경우에는 추가 비용을 지불할 필요 없이 PS5 다운로드판을 다운로드하실 수 있습니다. 본 제품을 구매하실 필요는 없습니다.","Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,귀멸의 칼날 히노카미 혈풍담2",SEGA CORPORATION,https://image.api.playstation.com/vulcan/ap/rnd/202502/1401/8a24546049ddbc031651f2ed0959ea4c271184de5934188f.jpg?w=1920,액션,playstation
